0001094	true	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	0001082
0001095	true	трайни варено-пушени колбаси	трайни варено-пушени колбаси	трайни варено-пушени колбаси	трайни варено-пушени колбаси	0001082
0001096	true	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	0001082
0001097	true	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	0001082
0001098	true	пастети	пастети	пастети	пастети	0001082
0001099	true	Месо от домашни копитни животни - месо от еднокопитни животни	Месо от домашни копитни животни - месо от еднокопитни животни	Месо от домашни копитни животни - месо от еднокопитни животни	Месо от домашни копитни животни - месо от еднокопитни животни	0001020
0001100	true	трупно месо – охладено	трупно месо – охладено	трупно месо – охладено	трупно месо – охладено	0001099
0001101	true	трупно месо – замразено	трупно месо – замразено	трупно месо – замразено	трупно месо – замразено	0001099
0001102	true	разфасовки - охладени	разфасовки - охладени	разфасовки - охладени	разфасовки - охладени	0001099
0001103	true	разфасовки - замразени	разфасовки - замразени	разфасовки - замразени	разфасовки - замразени	0001099
0001104	true	субпродукти – охладени	субпродукти – охладени	субпродукти – охладени	субпродукти – охладени	0001099
0001105	true	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	0001099
0001106	true	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	0001099
0001107	true	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	0001099
0001108	true	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	0001099
0001109	true	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	0001099
0001110	true	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	0001099
0001111	true	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	0001099
0001112	true	трайни варено-пушени колбаси	трайни варено-пушени колбаси	трайни варено-пушени колбаси	трайни варено-пушени колбаси	0001099
0001113	true	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	0001099
0001114	true	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	0001099
0001115	true	пастети	пастети	пастети	пастети	0001099
0001116	true	месни продукти, различни, от изброените	месни продукти, различни, от изброените	месни продукти, различни, от изброените	месни продукти, различни, от изброените	0001099
0001117	true	Месо от домашни копитни животни - дивечово месо	Месо от домашни копитни животни - дивечово месо	Месо от домашни копитни животни - дивечово месо	Месо от домашни копитни животни - дивечово месо	0001020
0001118	true	трупно месо от дребен дивеч – охладено	трупно месо от дребен дивеч – охладено	трупно месо от дребен дивеч – охладено	трупно месо от дребен дивеч – охладено	0001117
0001119	true	трупно месо от дребен дивеч - замразено	трупно месо от дребен дивеч - замразено	трупно месо от дребен дивеч - замразено	трупно месо от дребен дивеч - замразено	0001117
0001120	true	трупно месо от едър дивеч – охладено	трупно месо от едър дивеч – охладено	трупно месо от едър дивеч – охладено	трупно месо от едър дивеч – охладено	0001117
0001121	true	трупно месо от едър дивеч - замразено	трупно месо от едър дивеч - замразено	трупно месо от едър дивеч - замразено	трупно месо от едър дивеч - замразено	0001117
0001122	true	месо от дивеч отглеждан в стопанства – охладено	месо от дивеч отглеждан в стопанства – охладено	месо от дивеч отглеждан в стопанства – охладено	месо от дивеч отглеждан в стопанства – охладено	0001117
0001123	true	месо от дивеч отглеждан в стопанства – замразено	месо от дивеч отглеждан в стопанства – замразено	месо от дивеч отглеждан в стопанства – замразено	месо от дивеч отглеждан в стопанства – замразено	0001117
0001124	true	разфасовки от едър дивеч – охладени	разфасовки от едър дивеч – охладени	разфасовки от едър дивеч – охладени	разфасовки от едър дивеч – охладени	0001117
0001125	true	разфасовки от едър дивеч – замразени	разфасовки от едър дивеч – замразени	разфасовки от едър дивеч – замразени	разфасовки от едър дивеч – замразени	0001117
0001126	true	разфасовки от дребен дивеч – охладени	разфасовки от дребен дивеч – охладени	разфасовки от дребен дивеч – охладени	разфасовки от дребен дивеч – охладени	0001117
0001127	true	разфасовки от дребен дивеч – замразени	разфасовки от дребен дивеч – замразени	разфасовки от дребен дивеч – замразени	разфасовки от дребен дивеч – замразени	0001117
0001128	true	заготовки – охладени	заготовки – охладени	заготовки – охладени	заготовки – охладени	0001117
0001129	true	заготовки – замразени	заготовки – замразени	заготовки – замразени	заготовки – замразени	0001117
0001130	true	субпродукти – охладени	субпродукти – охладени	субпродукти – охладени	субпродукти – охладени	0001117
0001131	true	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	0001117
